team,wins,payroll
"Oakland Athletics",96,60.7
"Pittsburgh Pirates",94,79.6
"Tampa Bay Rays",92,57.9
"St. Louis Cardinals",97,115.2
"Cleveland Indians",92,77.8
"Boston Red Sox",97,150.7
"Texas Rangers",91,114.1
"Cincinnati Reds",90,107.5
"Detroit Tigers",93,148.4
"Kansas City Royals",86,81.5
"Baltimore Orioles",85,91
"Washington Nationals",86,114.1
"Arizona Diamondbacks",81,89.1
"Atlanta Braves",81,89.8
"Los Angeles Dodgers",92,216.6
"San Diego Padres",76,67.1
"Colorado Rockies",74,71.9
"New York Mets",74,73.4
"Milwaukee Brewers",74,83
"Los Angeles Angels",78,127.9
"Seattle Mariners",71,72
"New York Yankees",85,228.8
"Toronto Blue Jays",74,117.5
"San Francisco Giants",76,140.3
"Minnesota Twins",66,75.8
"Miami Marlins",62,36.3
"Philadelphia Phillies",73,165.4
"Chicago Cubs",66,104.3
"Chicago White Sox",63,119.1
"Houston Astros",51,22.1
