afqt,H40,H50,black
9,4,3,0
46,2,4,0
42,3,4,0
57,3,3,0
63,4,4,0
94,5,5,0
57,5,4,0
97,4,4,0
13,4,4,0
9,4,5,0
-4,2,1,0
59,4,3,0
13,5,4,0
13,2,2,0
37,4,5,0
66,4,4,0
79,4,3,0
38,4,5,0
87,5,5,0
99,3,3,0
99,5,5,0
84,5,4,0
68,5,4,0
3,3,3,1
37,3,3,0
26,4,4,0
32,4,2,0
65,5,3,0
71,2,3,0
-4,5,4,0
85,2,3,0
42,5,4,0
36,4,2,0
44,4,3,0
10,5,3,0
87,5,5,0
80,5,5,0
74,5,5,0
81,5,4,0
25,5,4,0
92,4,4,0
85,4,4,0
80,3,3,0
31,4,2,0
21,5,5,0
43,4,5,0
1,2,3,0
57,3,5,0
42,4,4,0
57,4,2,0
62,5,4,0
78,5,5,0
18,3,3,0
73,2,3,0
15,5,4,0
24,3,3,0
22,2,3,0
4,5,4,0
63,4,3,0
89,5,4,0
15,3,3,1
7,4,5,1
2,5,3,0
42,4,4,0
63,4,4,0
67,2,1,0
10,2,2,0
46,3,4,0
35,5,4,0
79,3,3,0
85,5,5,0
-4,5,3,0
94,5,5,0
42,4,4,0
51,3,3,0
81,4,3,0
95,4,4,0
89,4,4,0
44,4,5,0
13,4,4,0
31,5,4,0
14,3,3,0
23,3,3,0
8,3,3,0
89,5,4,0
94,3,4,0
69,5,5,0
53,4,4,0
49,3,3,0
-4,3,4,0
66,4,3,0
34,5,5,0
42,4,4,1
64,4,3,1
20,4,4,1
11,3,2,1
14,5,4,1
1,4,4,1
95,3,4,0
45,2,2,0
71,3,3,0
87,4,2,0
31,1,2,0
58,5,5,0
80,4,4,0
75,3,3,1
94,4,4,0
92,4,3,0
19,3,2,0
7,3,3,1
35,4,4,1
52,4,4,1
71,3,3,1
37,4,4,1
3,1,1,1
76,4,5,0
99,4,4,0
24,4,3,0
29,4,2,0
22,4,3,0
68,5,5,0
-4,5,4,0
44,3,4,0
71,5,4,0
64,4,4,0
80,4,4,0
78,4,4,0
56,4,4,0
72,5,3,0
29,4,4,0
50,5,3,0
98,5,5,0
82,4,3,0
35,3,4,0
96,5,4,0
95,5,5,0
32,1,1,0
31,4,3,0
30,3,3,0
42,4,4,0
14,3,4,0
53,4,3,0
11,4,4,0
53,5,5,0
64,3,3,0
87,4,5,0
40,4,3,0
45,4,4,0
42,4,4,0
65,3,2,0
64,4,3,0
8,3,1,0
47,3,3,0
4,2,1,0
-4,4,4,0
23,2,4,0
63,3,3,0
82,4,3,0
97,4,4,0
99,5,5,0
80,5,4,0
75,3,2,0
42,4,5,0
46,4,4,0
89,4,3,0
97,5,5,0
88,1,3,0
-3,4,3,0
30,4,2,0
50,3,3,0
88,4,4,0
39,4,4,0
75,4,4,0
22,5,5,0
12,3,2,0
50,4,4,0
1,2,4,1
35,2,1,0
87,2,2,0
4,3,3,0
61,3,4,0
32,5,4,0
27,3,4,0
2,5,2,0
80,4,4,0
53,4,4,0
88,5,5,0
65,3,3,0
51,5,4,0
86,4,2,0
41,3,2,1
38,3,4,1
35,4,4,0
27,4,3,0
5,4,3,0
26,2,2,0
38,5,4,0
52,3,4,0
27,4,4,0
8,3,2,0
81,5,4,0
32,4,5,0
19,5,3,0
27,5,4,0
77,4,4,0
35,4,4,0
