id,date,price,bedrooms,bathrooms,sqft,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,v19,sqft_living15,sqft_lot15,cond1,cond2,cond4,cond5,logprice,logsqft,logsqft_lot
1,"20141013T000000",221900,3,1,1180,5650,1,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,0,0,0,0,12.30998,7.07327,8.639411
2,"20141209T000000",538000,3,2.25,2570,7242,2,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,0,0,0,0,13.19561,7.851661,8.887652
3,"20150225T000000",180000,2,1,770,10000,1,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,0,0,0,0,12.10071,6.64639,9.21034
4,"20141209T000000",604000,4,3,1960,5000,1,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,0,0,0,1,13.31133,7.5807,8.517193
5,"20150218T000000",510000,3,2,1680,8080,1,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,0,0,0,0,13.14217,7.426549,8.997148
6,"20140512T000000",1230000,4,4.5,5420,101930,1,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,0,0,0,0,14.02252,8.597851,11.53204
7,"20140627T000000",257500,3,2.25,1715,6819,2,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,0,0,0,0,12.45877,7.447168,8.827468
8,"20150115T000000",291850,3,1.5,1060,9711,1,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,0,0,0,0,12.58399,6.966024,9.181015
9,"20150415T000000",229500,3,1,1780,7470,1,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,0,0,0,0,12.34366,7.484369,8.918651
10,"20150312T000000",323000,3,2.5,1890,6560,2,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,0,0,0,0,12.68541,7.544332,8.788746
11,"20150403T000000",662500,3,2.5,3560,9796,1,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,0,0,0,0,13.40378,8.177516,9.18973
12,"20140527T000000",468000,2,1,1160,6000,1,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,0,0,1,0,13.05622,7.056175,8.699514
13,"20140528T000000",310000,3,1,1430,19901,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,0,0,1,0,12.64433,7.265429,9.898525
14,"20141007T000000",400000,3,1.75,1370,9680,1,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,0,0,1,0,12.89922,7.222566,9.177817
15,"20150312T000000",530000,5,2,1810,4850,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,0,0,0,0,13.18063,7.501082,8.486734
16,"20150124T000000",650000,4,3,2950,5000,2,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,0,0,0,0,13.38473,7.989561,8.517193
17,"20140731T000000",395000,3,2,1890,14040,2,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,0,0,0,0,12.88664,7.544332,9.549665
18,"20140529T000000",485000,4,1,1600,4300,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,0,0,1,0,13.0919,7.377759,8.36637
19,"20141205T000000",189000,2,1,1200,9850,1,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,0,0,1,0,12.1495,7.090077,9.195227
20,"20150424T000000",230000,3,1,1250,9774,1,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,0,0,1,0,12.34583,7.130899,9.187481
21,"20140514T000000",385000,4,1.75,1620,4980,1,0,0,4,7,860,760,1947,0,98133,47.7025,-122.341,1400,4980,0,0,1,0,12.861,7.390182,8.513186
22,"20140826T000000",2000000,3,2.75,3050,44867,1,0,4,3,9,2330,720,1968,0,98040,47.5316,-122.233,4110,20336,0,0,0,0,14.50866,8.022897,10.71146
23,"20140703T000000",285000,5,2.5,2270,6300,2,0,0,3,8,2270,0,1995,0,98092,47.3266,-122.169,2240,7005,0,0,0,0,12.56024,7.727535,8.748305
24,"20140516T000000",252700,2,1.5,1070,9643,1,0,0,3,7,1070,0,1985,0,98030,47.3533,-122.166,1220,8386,0,0,0,0,12.43996,6.975414,9.173987
25,"20141120T000000",329000,3,2.25,2450,6500,2,0,0,4,8,2450,0,1985,0,98030,47.3739,-122.172,2200,6865,0,0,1,0,12.70381,7.803843,8.779557
26,"20141103T000000",233000,3,2,1710,4697,1.5,0,0,5,6,1710,0,1941,0,98002,47.3048,-122.218,1030,4705,0,0,0,1,12.35879,7.444249,8.454679
27,"20140626T000000",937000,3,1.75,2450,2691,2,0,0,3,8,1750,700,1915,0,98119,47.6386,-122.36,1760,3573,0,0,0,0,13.75044,7.803843,7.897668
28,"20141201T000000",667000,3,1,1400,1581,1.5,0,0,5,8,1400,0,1909,0,98112,47.6221,-122.314,1860,3861,0,0,0,1,13.41055,7.244227,7.365813
29,"20140624T000000",438000,3,1.75,1520,6380,1,0,0,3,7,790,730,1948,0,98115,47.695,-122.304,1520,6235,0,0,0,0,12.98997,7.326466,8.760923
30,"20150302T000000",719000,4,2.5,2570,7173,2,0,0,3,8,2570,0,2005,0,98052,47.7073,-122.11,2630,6026,0,0,0,0,13.48562,7.851661,8.878079
31,"20141110T000000",580500,3,2.5,2320,3980,2,0,0,3,8,2320,0,2003,0,98027,47.5391,-122.07,2580,3980,0,0,0,0,13.27165,7.749322,8.289037
32,"20141201T000000",280000,2,1.5,1190,1265,3,0,0,3,7,1190,0,2005,0,98133,47.7274,-122.357,1390,1756,0,0,0,0,12.54255,7.081708,7.142828
33,"20140624T000000",687500,4,1.75,2330,5000,1.5,0,0,4,7,1510,820,1929,0,98117,47.6823,-122.368,1460,5000,0,0,1,0,13.44082,7.753623,8.517193
34,"20141110T000000",535000,3,1,1090,3000,1.5,0,0,4,8,1090,0,1929,0,98117,47.6889,-122.375,1570,5080,0,0,1,0,13.19002,6.993933,8.006368
35,"20141203T000000",322500,4,2.75,2060,6659,1,0,0,3,7,1280,780,1981,0,98058,47.4276,-122.157,2020,8720,0,0,0,0,12.68386,7.630461,8.803724
36,"20140613T000000",696000,3,2.5,2300,3060,1.5,0,0,3,8,1510,790,1930,2002,98115,47.6827,-122.31,1590,3264,0,0,0,0,13.4531,7.740664,8.02617
37,"20140528T000000",550000,4,1,1660,34848,1,0,0,1,5,930,730,1933,0,98052,47.6621,-122.132,2160,11467,1,0,0,0,13.21767,7.414573,10.45875
38,"20141230T000000",640000,4,2,2360,6000,2,0,0,4,8,2360,0,1904,0,98107,47.6702,-122.362,1730,4700,0,0,1,0,13.36922,7.766417,8.699514
39,"20150213T000000",240000,4,1,1220,8075,1,0,0,2,7,890,330,1969,0,98001,47.3341,-122.282,1290,7800,0,1,0,0,12.38839,7.106606,8.996528
40,"20140620T000000",605000,4,2.5,2620,7553,2,0,0,3,8,2620,0,1996,0,98056,47.5301,-122.18,2620,11884,0,0,0,0,13.31298,7.87093,8.9297
41,"20140715T000000",625000,4,2.5,2570,5520,2,0,0,3,9,2570,0,2000,0,98074,47.6145,-122.027,2470,5669,0,0,0,0,13.34551,7.851661,8.616133
42,"20140811T000000",775000,4,2.25,4220,24186,1,0,0,3,8,2600,1620,1984,0,98166,47.445,-122.347,2410,30617,0,0,0,0,13.56062,8.34759,10.09353
43,"20140707T000000",861990,5,2.75,3595,5639,2,0,0,3,9,3595,0,2014,0,98053,47.6848,-122.016,3625,5639,0,0,0,0,13.667,8.1873,8.637462
44,"20141028T000000",685000,3,1,1570,2280,2,0,0,3,7,1570,0,1922,0,98119,47.6413,-122.364,1580,2640,0,0,0,0,13.43717,7.358831,7.731931
45,"20140729T000000",309000,3,1,1280,9656,1,0,0,4,6,920,360,1959,0,98058,47.4485,-122.175,1340,8808,0,0,1,0,12.6411,7.154615,9.175335
46,"20140718T000000",488000,3,2.5,3160,13603,2,0,0,3,8,3160,0,2003,0,98019,47.7443,-121.977,3050,9232,0,0,0,0,13.09807,8.058328,9.518045
47,"20150325T000000",210490,3,1,990,8528,1,0,0,3,6,990,0,1966,0,98023,47.3066,-122.371,1228,8840,0,0,0,0,12.25719,6.897705,9.05111
48,"20140716T000000",785000,4,2.5,2290,13416,2,0,0,4,9,2290,0,1981,0,98007,47.6194,-122.151,2680,13685,0,0,1,0,13.57344,7.736307,9.504203
49,"20150428T000000",450000,3,1.75,1250,5963,1,0,0,4,7,1250,0,1953,0,98115,47.6796,-122.301,970,5100,0,0,1,0,13.017,7.130899,8.693329
50,"20150311T000000",1350000,3,2.5,2753,65005,1,1,2,5,9,2165,588,1953,0,98070,47.4041,-122.451,2680,72513,0,0,0,1,14.11561,7.920446,11.08222
51,"20140916T000000",228000,3,1,1190,9199,1,0,0,3,7,1190,0,1955,0,98148,47.4258,-122.322,1190,9364,0,0,0,0,12.3371,7.081708,9.12685
52,"20150217T000000",345000,5,2.5,3150,9134,1,0,0,4,8,1640,1510,1966,0,98056,47.4934,-122.189,1990,9133,0,0,1,0,12.7513,8.055158,9.119759
53,"20141231T000000",600000,3,1.75,1410,4080,1,0,0,4,7,1000,410,1950,0,98117,47.6808,-122.384,1410,4080,0,0,1,0,13.30468,7.251345,8.313852
54,"20150205T000000",585000,2,1.75,1980,8550,1,0,0,3,7,990,990,1981,0,98117,47.6989,-122.369,1480,6738,0,0,0,0,13.27937,7.590852,9.053686
55,"20150303T000000",920000,5,2.25,2730,6000,1.5,0,0,3,8,2130,600,1927,0,98105,47.6571,-122.281,2730,6000,0,0,0,0,13.73213,7.912057,8.699514
56,"20140512T000000",885000,4,2.5,2830,5000,2,0,0,3,9,2830,0,1995,0,98105,47.6597,-122.29,1950,5000,0,0,0,0,13.69334,7.948032,8.517193
57,"20140819T000000",292500,4,2.5,2250,4495,2,0,0,3,7,2250,0,2008,0,98042,47.3663,-122.114,2250,4500,0,0,0,0,12.58622,7.718686,8.410721
58,"20150407T000000",301000,3,2.5,2420,4750,2,0,0,3,8,2420,0,2003,0,98042,47.3663,-122.122,2690,4750,0,0,0,0,12.61487,7.791523,8.465899
59,"20140827T000000",951000,5,3.25,3250,14342,2,0,4,4,8,3250,0,1968,0,98008,47.588,-122.116,2960,11044,0,0,1,0,13.76527,8.086411,9.570948
60,"20150223T000000",430000,4,3,1850,9976,2,0,0,3,8,1850,0,1991,0,98059,47.5059,-122.149,2270,8542,0,0,0,0,12.97154,7.522941,9.207937
61,"20141210T000000",650000,3,2.25,2150,21235,1,0,3,4,8,1590,560,1959,0,98166,47.4336,-122.339,2570,18900,0,0,1,0,13.38473,7.673223,9.963406
62,"20140828T000000",289000,3,1.75,1260,8400,1,0,0,3,7,1260,0,1954,0,98148,47.4366,-122.335,1290,8750,0,0,0,0,12.57418,7.138867,9.035987
63,"20141021T000000",505000,3,1.75,2519,8690,2,0,0,5,8,2519,0,1973,0,98166,47.4428,-122.344,2500,9500,0,0,0,1,13.13231,7.831617,9.069928
64,"20141207T000000",549000,3,1.75,1540,1044,3,0,0,3,8,1540,0,2014,0,98115,47.6765,-122.32,1580,3090,0,0,0,0,13.21585,7.339538,6.950815
65,"20140603T000000",425000,3,2.25,1660,6000,1,0,0,3,7,1110,550,1979,0,98122,47.6113,-122.297,1440,4080,0,0,0,0,12.95984,7.414573,8.699514
66,"20141120T000000",317625,3,2.75,2770,3809,1.5,0,0,5,7,1770,1000,1925,0,98144,47.5747,-122.304,1440,4000,0,0,0,1,12.66863,7.926602,8.245122
67,"20140909T000000",975000,4,2.5,2720,11049,2,0,0,3,10,2720,0,1989,0,98004,47.5815,-122.192,2750,11049,0,0,0,0,13.79019,7.908387,9.310095
68,"20141009T000000",287000,4,2.5,2240,4648,2,0,0,3,7,2240,0,2005,0,98001,47.3378,-122.257,2221,4557,0,0,0,0,12.56724,7.714231,8.444192
69,"20140825T000000",204000,3,1,1000,12070,1,0,0,4,7,1000,0,1968,0,98042,47.3621,-122.11,1010,12635,0,0,1,0,12.22587,6.907755,9.398479
70,"20140612T000000",1330000,5,2.25,3200,20158,1,0,0,3,8,1600,1600,1965,0,98004,47.6303,-122.215,3390,20158,0,0,0,0,14.10069,8.070906,9.911357
71,"20140912T000000",1040000,5,3.25,4770,50094,1,0,0,4,11,3070,1700,1973,0,98005,47.6525,-122.16,3530,38917,0,0,1,0,13.85473,8.470101,10.82166
72,"20150105T000000",325000,3,2,1260,5612,1,0,0,4,7,1260,0,1972,0,98034,47.7362,-122.179,1640,4745,0,0,1,0,12.69158,7.138867,8.632663
73,"20140610T000000",571000,4,2,2750,7807,1.5,0,0,5,7,2250,500,1916,0,98125,47.7168,-122.287,1510,7807,0,0,0,1,13.25514,7.919356,8.962776
74,"20140710T000000",360000,4,2.5,2380,5000,2,0,0,3,8,2380,0,2005,0,98038,47.3608,-122.036,2420,5000,0,0,0,0,12.79386,7.774856,8.517193
75,"20150316T000000",349000,3,1.75,1790,50529,1,0,0,5,7,1090,700,1965,0,98042,47.3511,-122.073,1940,50529,0,0,0,1,12.76283,7.489971,10.8303
76,"20141105T000000",832500,4,4,3430,35102,2,0,0,4,10,2390,1040,1986,0,98075,47.5822,-121.987,3240,35020,0,0,1,0,13.63219,8.140316,10.46601
77,"20141013T000000",380000,4,1.75,1760,7300,1,0,0,3,7,880,880,1956,0,98008,47.6034,-122.125,1680,7500,0,0,0,0,12.84793,7.473069,8.89563
78,"20150420T000000",480000,3,1,1040,5060,1,0,0,3,7,1040,0,1941,0,98116,47.5636,-122.394,890,5060,0,0,0,0,13.08154,6.946976,8.529121
79,"20140609T000000",410000,3,1,1410,5060,1,0,0,4,7,910,500,1956,0,98133,47.7073,-122.34,1130,5693,0,0,1,0,12.92391,7.251345,8.529121
80,"20150323T000000",720000,4,2.5,3450,39683,2,0,0,3,10,3450,0,2002,0,98010,47.342,-122.025,3350,39750,0,0,0,0,13.48701,8.14613,10.58868
81,"20141202T000000",390000,3,2.5,2350,5100,2,0,0,3,8,2350,0,2003,0,98038,47.3512,-122.008,2350,5363,0,0,0,0,12.8739,7.762171,8.536996
82,"20141222T000000",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405,0,0,0,0,12.79386,7.549609,8.680841
83,"20141028T000000",355000,2,1,2020,6720,1,0,0,3,7,1010,1010,1948,0,98118,47.5474,-122.291,1720,6720,0,0,0,0,12.77987,7.610853,8.812843
84,"20150128T000000",356000,3,1.5,1680,8712,1,0,0,3,8,1680,0,1964,0,98059,47.4811,-122.149,1850,8797,0,0,0,0,12.78269,7.426549,9.072456
85,"20140602T000000",315000,3,1,960,6634,1,0,0,3,6,960,0,1952,0,98125,47.7264,-122.31,1570,7203,0,0,0,0,12.66033,6.866933,8.799963
86,"20141114T000000",940000,3,1.5,2140,3600,2,0,0,3,9,1900,240,1925,0,98119,47.6337,-122.365,2020,4800,0,0,0,0,13.75364,7.668561,8.188689
87,"20141103T000000",305000,5,2.25,2660,8400,1.5,0,0,5,7,2660,0,1961,0,98092,47.2909,-122.189,1590,8165,0,0,0,1,12.62807,7.886081,9.035987
88,"20140618T000000",461000,3,3.25,2770,6278,2,0,0,3,9,1980,790,2006,0,98056,47.5228,-122.199,1900,7349,0,0,0,0,13.04115,7.926602,8.744806
89,"20140519T000000",215000,2,2.25,1610,2040,2,0,0,4,7,1610,0,1979,0,98056,47.518,-122.194,1950,2025,0,0,1,0,12.27839,7.383989,7.620705
90,"20140904T000000",335000,2,1.75,1030,1066,2,0,0,3,7,765,265,2006,0,98136,47.5394,-122.387,1030,1106,0,0,0,0,12.72189,6.937314,6.971669
91,"20140522T000000",243500,4,2.5,1980,7403,2,0,0,3,7,1980,0,1988,0,98023,47.2897,-122.372,1980,7510,0,0,0,0,12.40287,7.590852,8.90964
92,"20150311T000000",1100000,5,2.75,3520,6353,2,0,0,4,10,3520,0,2001,0,98199,47.6506,-122.391,2520,6250,0,0,1,0,13.91082,8.166216,8.756682
93,"20150226T000000",153000,3,1,1200,10500,1,0,0,3,7,1200,0,1962,0,98023,47.322,-122.351,1350,10500,0,0,0,0,11.93819,7.090077,9.25913
94,"20140725T000000",430000,3,1.5,1580,5000,1,0,0,3,8,1290,290,1939,0,98117,47.687,-122.386,1570,4500,0,0,0,0,12.97154,7.36518,8.517193
