afqt,income,educ,age,black,hisp,coll,grad,hs,max_coll,mom_hs,mom_coll,dad_hs,dad_coll,ageyears
99,56500,16,"45",0,0,1,0,1,1,1,0,1,0,45
35,30000,12,"39",0,0,0,0,1,0,1,0,1,0,39
51,55000,14,"41",0,0,0,0,1,0,1,0,0,0,41
85,38000,16,"46",0,0,0,0,1,0,1,0,1,1,46
88,62000,13,"47",0,0,0,0,1,0,1,0,1,0,47
98,80000,13,"46",0,0,0,0,1,0,1,0,1,1,46
13,30000,13,"45",0,0,0,0,1,0,1,0,1,0,45
38,700,14,"44",0,0,0,0,1,0,0,0,1,0,44
54,73000,15,"42",0,0,0,0,1,0,0,0,1,0,42
16,48000,12,"40",0,0,0,0,1,0,1,0,1,0,40
77,42000,12,"45",0,0,0,0,1,0,1,0,1,1,45
97,44000,12,"45",0,0,0,0,1,0,0,0,0,0,45
91,120000,16,"44",0,0,0,0,0,0,1,0,1,0,44
78,94000,18,"40",0,0,1,1,1,0,1,1,1,1,40
71,120000,18,"41",0,0,1,0,1,1,1,1,1,1,41
31,37590,14,"40",0,0,0,0,1,0,1,1,1,1,40
96,265933,18,"44",0,0,1,1,1,0,1,1,1,1,44
70,13000,17,"41",0,0,1,0,1,1,1,0,1,1,41
21,40000,19,"40",0,0,1,0,1,1,1,0,1,1,40
89,105000,16,"46",0,0,1,0,1,1,0,0,0,0,46
18,74000,12,"40",0,0,0,0,1,0,0,0,0,0,40
93,96000,19,"45",0,0,1,1,1,0,0,0,0,0,45
84,62000,18,"46",0,0,1,0,1,1,0,0,0,0,46
94,93000,16,"43",0,0,1,0,1,1,1,0,0,0,43
58,44000,16,"42",0,0,1,0,1,1,0,0,0,0,42
93,70000,20,"46",0,0,1,1,1,0,0,0,0,0,46
75,68000,13,"47",0,0,0,0,1,0,0,0,1,0,47
97,62000,15,"45",0,0,0,0,1,0,0,0,1,0,45
35,25000,16,"47",0,0,0,0,1,0,0,0,0,0,47
97,265933,16,"42",0,0,1,0,1,1,1,1,1,0,42
56,100000,12,"42",0,0,0,0,1,0,0,0,0,0,42
29,63000,16,"39",0,0,0,0,1,0,0,0,1,0,39
52,17000,12,"42",0,0,0,0,1,0,1,0,1,0,42
84,56700,12,"40",0,0,0,0,1,0,1,0,1,0,40
65,26300,12,"41",0,0,0,0,1,0,1,0,1,0,41
35,60000,9,"41",0,0,0,0,1,0,1,0,1,0,41
6,35000,11,"45",0,0,0,0,0,0,1,0,1,1,45
98,77000,18,"43",0,0,1,1,1,0,1,1,1,1,43
