year,n225,ur
1950,-7.28,
1951,62.95,
1952,119.14,
1953,3.86,
1954,-5.78,
1955,19.55,
1956,29,
1957,-14.13,
1958,40.92,
1959,31.66,
1960,55.07,1.625
1961,5.59,1.43333
1962,-0.85,1.28333
1963,-13.15,1.28333
1964,-1.39,1.175
1965,16.55,1.21667
1966,2.42,1.30833
1967,-11.61,1.25833
1968,32.38,1.18333
1969,38.19,1.125
1970,-15.37,1.15
1971,36.57,1.225
1972,91.91,1.41667
1973,-17.3,1.26667
1974,-10.91,1.375
1975,13.16,1.89167
1976,14.94,2.00833
1977,-2.51,2.025
1978,23.35,2.24167
1979,9.46,2.08333
1980,7.51,2.00833
1981,8.76,2.20833
1982,4.36,2.35
1983,23.42,2.65833
1984,16.66,2.70833
1985,13.35,2.61667
1986,43.85,2.75833
1987,14.58,2.85
1988,39.86,2.53333
1989,29.04,2.26667
1990,-38.72,2.10833
1991,-3.63,2.1
1992,-26.36,2.15
1993,2.91,2.5
1994,13.24,2.89167
1995,0.74,3.15
1996,-2.55,3.35
1997,-21.19,3.4
1998,-9.28,4.10833
1999,36.79,4.68333
2000,-27.19,4.71667
2001,-23.52,5.03333
2002,-18.63,5.375
2003,24.45,5.25833
2004,7.61,4.71667
2005,40.24,4.425
2006,6.92,4.14167
2007,-11.13,3.84167
2008,-42.12,3.99167
2009,19.04,5.06667
2010,-3.01,5.05
2011,-17.34,4.58333
2012,22.94,4.35
2013,56.72,4.025
2014,7.12,3.59167
2015,9.07,3.375
2016,0.42,3.11667
2017,19.1,2.80833
2018,-12.08,2.44167
2019,18.2,2.35
2020,16.01,2.775
2021,4.91,2.81667
