exp_educ,SEX,age79,afqt,numkids84,black,hisp
14,"FEMALE",17,46,2,0,0
12,"FEMALE",16,48,1,0,0
18,"FEMALE",17,94,0,0,0
16,"FEMALE",16,84,0,0,0
12,"FEMALE",16,13,0,0,0
12,"FEMALE",17,13,1,0,0
12,"FEMALE",17,37,1,0,0
16,"FEMALE",16,63,0,0,0
18,"FEMALE",16,99,0,0,0
16,"FEMALE",16,99,0,0,0
16,"FEMALE",17,68,0,0,0
15,"FEMALE",16,37,1,0,0
14,"FEMALE",17,32,1,0,0
12,"FEMALE",16,50,0,0,0
12,"FEMALE",17,30,1,0,0
16,"FEMALE",16,44,0,0,0
14,"FEMALE",17,87,0,0,0
14,"FEMALE",16,80,0,0,0
16,"FEMALE",16,81,0,0,0
14,"FEMALE",17,63,0,0,0
14,"FEMALE",17,25,0,0,0
14,"FEMALE",17,92,0,0,0
14,"FEMALE",17,47,0,0,0
12,"FEMALE",17,31,0,0,0
12,"FEMALE",16,17,0,1,0
16,"FEMALE",17,73,0,0,0
12,"FEMALE",16,15,0,0,0
17,"FEMALE",17,89,0,0,0
14,"FEMALE",16,38,0,0,0
18,"FEMALE",17,63,0,0,0
12,"FEMALE",16,46,0,0,0
14,"FEMALE",16,85,0,0,0
12,"FEMALE",16,39,1,0,0
12,"FEMALE",17,94,2,0,0
14,"FEMALE",16,42,1,0,0
12,"FEMALE",17,51,1,0,0
12,"FEMALE",17,87,0,0,0
18,"FEMALE",16,95,0,0,0
17,"FEMALE",16,62,0,0,0
12,"FEMALE",17,44,0,0,0
12,"FEMALE",17,14,1,0,0
14,"FEMALE",16,23,1,0,0
14,"FEMALE",17,53,1,0,0
18,"FEMALE",16,31,,0,1
16,"FEMALE",16,49,1,0,0
12,"FEMALE",16,14,2,1,0
16,"FEMALE",16,62,0,0,0
13,"FEMALE",17,45,0,0,0
14,"FEMALE",16,32,0,0,0
16,"FEMALE",17,87,0,0,0
12,"FEMALE",17,31,0,0,0
17,"FEMALE",17,58,0,0,0
12,"FEMALE",17,16,2,0,0
12,"FEMALE",17,52,0,1,0
16,"FEMALE",16,71,0,1,0
12,"FEMALE",17,7,1,1,0
12,"FEMALE",16,37,0,1,0
17,"FEMALE",17,99,0,0,0
16,"FEMALE",17,24,1,0,0
12,"FEMALE",16,40,0,0,0
12,"FEMALE",16,58,0,0,0
12,"FEMALE",16,80,0,0,0
16,"FEMALE",17,78,0,0,0
16,"FEMALE",17,72,0,0,0
12,"FEMALE",17,78,0,0,0
17,"FEMALE",17,82,0,0,0
16,"FEMALE",17,35,0,0,0
12,"FEMALE",16,31,0,0,0
12,"FEMALE",16,14,1,0,0
14,"FEMALE",17,53,0,0,0
14,"FEMALE",16,87,0,0,0
14,"FEMALE",17,40,1,0,0
16,"FEMALE",17,65,0,0,0
17,"FEMALE",17,77,0,0,0
14,"FEMALE",16,63,1,0,0
16,"FEMALE",16,80,0,0,0
14,"FEMALE",17,22,0,0,0
16,"FEMALE",16,51,0,0,0
12,"FEMALE",17,46,0,0,0
17,"FEMALE",16,29,,0,0
16,"FEMALE",17,89,0,0,0
12,"FEMALE",16,61,0,0,0
9,"FEMALE",16,23,3,0,0
16,"FEMALE",16,53,0,0,0
14,"FEMALE",17,50,1,0,0
16,"FEMALE",17,39,0,0,0
12,"FEMALE",16,19,,0,0
12,"FEMALE",17,32,0,0,0
12,"FEMALE",16,27,0,0,0
16,"FEMALE",16,2,0,0,0
16,"FEMALE",17,80,0,0,0
16,"FEMALE",16,88,0,0,0
12,"FEMALE",17,81,0,0,0
17,"FEMALE",16,65,0,0,0
12,"FEMALE",17,41,0,1,0
16,"FEMALE",16,30,0,1,0
16,"FEMALE",16,35,,0,0
16,"FEMALE",17,46,0,0,0
12,"FEMALE",16,27,1,0,0
12,"FEMALE",16,38,1,0,0
12,"FEMALE",16,15,0,0,0
12,"FEMALE",16,19,0,0,0
12,"FEMALE",16,27,0,0,0
17,"FEMALE",17,77,0,0,0
12,"FEMALE",17,11,0,0,1
12,"FEMALE",16,19,1,0,0
12,"FEMALE",16,85,1,0,0
16,"FEMALE",17,68,0,0,0
16,"FEMALE",17,27,1,1,0
12,"FEMALE",17,66,1,0,0
12,"FEMALE",17,27,2,0,0
14,"FEMALE",17,21,0,0,0
12,"FEMALE",17,29,0,0,0
12,"FEMALE",16,76,1,0,0
14,"FEMALE",17,16,0,0,0
