period,sp500,oil
1,359.69,22.88
2,358.76,23.81
3,355.67,23.41
4,352.2,23.07
5,353.79,21.64
6,349.62,22.25
7,347.31,22.9
8,348.53,23.15
9,339.93,23.17
10,337,22.36
11,340.75,22.61
12,337.4,22.11
13,338.19,22.78
14,339.15,23.7
15,330.38,22.57
16,331.61,22.34
17,330.26,23.43
18,326.08,24.48
19,325.8,22.56
20,325.2,22.79
21,322.98,22.29
22,329.08,22.69
23,328.79,22.71
24,330.92,23.04
25,331.85,22.44
26,329.66,22.36
27,333.75,22.4
28,332.96,22.11
29,333.62,21.82
30,330.08,22.02
31,331.02,21.88
32,332.01,22.12
33,334.89,22.86
34,332.72,22.46
35,327.99,22.2
36,327.67,21.87
37,325.7,21.4
38,324.15,21.13
39,328.67,21.81
40,330.26,21.62
41,331.89,21.55
42,332.74,21.19
43,335.54,21.36
44,333.74,21.62
45,337.93,21.3
46,336.95,20.93
47,340.27,20.8
48,337.93,20.42
49,338.67,20.26
50,336,20.15
51,336.87,20.07
52,338.07,20.38
53,341.91,20.09
54,343.53,19.6
55,341.57,19.34
56,339.74,19.59
57,335.69,19.85
58,337.22,20.28
59,337.63,20.48
60,341.5,20.36
61,342,20.09
62,340.79,20.03
63,339.94,20.34
64,338.7,20.51
65,343.64,20.23
66,341.09,19.78
67,340.73,19.48
68,340.08,19.15
69,341.37,18.32
70,342.07,17.56
71,341.92,18.19
72,344.34,17.76
73,344.74,17.87
74,344.68,17.37
75,340.72,16.95
76,338.09,17.93
77,335.12,17.9
78,331.05,18.6
79,330.36,17.85
80,332.03,17.49
81,332.92,18.5
82,329.11,18.57
83,330.8,18.5
84,332.25,18.76
85,334.48,18.63
86,335.57,17.98
87,338.39,17.98
88,340.53,18.3
89,342.01,18.26
90,342.86,19.01
91,343.82,19.03
92,352,18.96
93,354.75,19.73
94,354.28,19.52
95,354,19.05
96,354.47,18.89
97,354.64,18.78
98,358,18.26
99,358.43,17.51
100,359.29,16.25
101,358.41,16.02
102,354.58,16.12
103,360.65,18
104,360.86,17.88
105,361.23,17.47
106,363.16,17.51
107,367.4,17.09
108,366.64,16.41
109,364.96,16.91
110,363.15,16.65
111,358.71,16.78
112,361.63,16.82
113,366.25,17.39
114,364.9,17.6
115,362.9,17.11
116,362.91,16.64
117,356.88,15.92
118,358.47,15.55
119,359.1,15.43
120,360.47,16.09
121,355.43,16.5
122,352.31,16.15
123,352.06,17.12
124,355.14,16.7
125,357.63,17.18
126,358.02,17.05
127,359.54,16.94
128,360.16,16.73
129,355.68,16.5
130,358.42,16.49
131,359.52,16.63
132,356.49,17.05
133,361.23,17.45
134,365.44,18.69
135,367.31,18.37
136,368.95,18.67
137,367.52,18.23
138,364.22,18.57
139,365.32,19.07
140,361.61,19.61
141,355.31,19.88
142,355.79,19.84
143,357.09,19.33
144,355.91,20.33
145,353.44,20.07
146,355.55,20.24
147,356.15,20.57
148,355.52,21.59
149,351.48,23.71
150,344.86,23.79
151,334.43,28.73
152,334.83,29.6
153,338.35,26.19
154,339.94,25.69
155,335.52,26.38
156,338.84,27.07
157,339.39,26.7
158,340.06,26.54
159,332.39,27.4
160,327.83,28.65
161,328.51,28.63
162,321.86,28.46
163,316.55,30.52
164,307.06,31.67
165,311.51,31.1
166,321.44,27.36
167,321.34,27.73
168,324.19,26.15
169,318.71,26.96
170,322.56,27.45
171,323.09,29.3
172,324.39,30
173,320.46,31.51
174,323.4,30.09
175,321.63,30.83
176,321.04,30.29
177,322.54,30.85
178,318.65,31.2
179,316.83,31.79
180,317.77,33.73
181,318.6,33.48
182,316.6,33.18
183,311.48,34.44
184,311.32,36.21
185,304.59,39.05
186,308.26,38.33
187,305.06,39.12
188,300.97,39.77
189,306.05,39.53
190,314.94,37.08
191,315.21,34.43
192,311.4,37.04
193,312.69,36.76
194,311.5,37.87
195,313.48,38.88
196,305.1,40.73
197,300.39,39.3
198,295.46,41.07
199,300.03,39.42
200,303.23,38
201,298.92,39.34
202,298.76,36.03
203,305.74,37.03
204,312.48,33.82
205,314.76,28.46
206,312.36,29.95
207,312.6,30.8
208,310.17,34.35
209,304.71,33.03
210,301.88,35.28
211,304.06,34.93
212,304,35.31
213,307.02,35.3
214,311.85,33.95
215,314.59,32.05
216,311.62,32.41
217,306.01,35.48
218,307.61,35.61
219,313.74,33.91
220,319.48,32.08
221,317.67,33.3
222,320.4,31.18
223,317.02,31.05
224,317.12,29.91
225,319.34,31.45
226,315.31,29.5
227,316.03,30.08
228,315.1,32.35
229,316.51,33.28
230,318.1,33.05
231,317.95,33.28
232,316.42,32.93
233,322.22,29.08
234,324.1,29.4
235,326.35,29.05
236,329.92,27.18
237,329.07,26.35
238,327.75,26.61
239,328.89,27.08
240,326.44,26.5
241,330.19,25.3
242,329.34,26.45
243,326.82,26.6
244,326.02,27.1
245,330.05,27.85
246,330.2,28.26
247,330.12,27.5
248,331.75,27.08
249,329.9,26.95
250,330.85,27.35
251,328.29,26.95
252,328.72,27.58
253,330.22,28.48
254,326.45,26.53
255,321.91,25.61
256,321,24.88
257,315.44,27.25
258,314.9,27.5
259,311.49,28
260,314.53,27.55
261,315.23,27.43
262,312.49,30.13
263,313.73,30.35
264,316.17,32.25
265,327.97,21.48
266,332.23,20.05
267,331.06,21.63
268,328.31,24.91
269,330.21,24.08
270,334.78,25.63
271,336.07,24.15
272,336.03,21.03
273,335.84,21.73
274,340.91,21.08
275,343.93,21.9
276,343.05,21.33
277,348.34,21.23
278,351.26,20.7
279,358.07,21.48
280,356.52,21.33
281,359.35,21.78
282,368.58,22.44
283,365.5,22.78
284,369.02,22.38
285,364.22,22.25
286,369.06,20.73
287,369.39,20.08
288,365.14,20.18
289,364.97,18.48
290,365.65,17.43
291,367.26,17.43
292,362.81,18.48
293,367.74,19.03
294,367.07,19.28
295,370.47,19.43
296,369.33,20.33
297,376.72,20.5
298,376.17,19.78
299,375.91,19.33
300,374.95,19.34
301,372.96,19
302,370.03,20.06
303,374.57,20.48
304,373.5,20.05
305,373.59,19.88
306,372.11,19.78
307,366.59,20.68
308,367.92,20.4
309,366.58,20.78
310,367.48,19.88
311,369.83,19.47
312,376.3,19.78
313,375.35,19.45
314,375.22,19.63
315,371.3,19.28
316,379.5,19.38
317,378.94,19.48
318,379.77,19.98
319,375.36,20.03
320,378.66,20.28
321,373.56,20.58
322,373.15,21.08
323,377.63,20.98
324,380.4,21.54
325,381.19,21.85
326,387.62,21.6
327,390.45,21.73
328,388.46,21.08
329,384.2,21.16
330,380.95,21.68
331,381.76,21.03
332,382.76,21
333,379.25,20.95
334,379.02,21.28
335,373.66,21.3
336,375.34,20.99
337,380.29,21.28
338,380.52,21.17
339,380.8,21.43
340,380.08,21.73
341,377.32,21.72
342,378.51,21.83
343,383.25,21.92
344,375.74,21.25
345,376.76,20.89
346,371.62,20.73
347,368.57,21.04
348,372.19,20.91
349,372.39,21.19
350,372.28,21.39
351,375.35,20.95
352,376.19,20.85
353,374.96,20.95
354,377.49,21.04
355,381.94,21.34
356,382.79,21.04
357,386.96,21.3
358,389.83,21.16
359,388.06,21.16
360,387.74,20.9
361,385.09,20.45
362,383.63,20.38
363,379.43,20.28
364,378.57,19.84
365,381.05,19.85
366,376.65,20.08
367,377.63,19.71
368,382.29,19.7
369,380.13,19.97
370,378.59,20.11
371,375.09,19.99
372,375.42,20.22
373,377.75,20.1
374,370.94,19.92
375,370.65,20.03
376,371.59,20.12
377,374.4,20.41
378,371.16,20.56
379,377.92,20.78
380,377.47,20.92
381,373.33,20.69
382,374.08,20.91
383,377.94,21.29
384,376.11,21.35
385,375.74,21.43
386,376.97,21.32
387,380.25,21.74
388,382.39,21.5
389,381.54,21.7
390,381.18,22.2
391,385.37,21.97
392,384.22,22.16
393,382.88,21.74
394,379.42,21.25
395,378.64,21.41
396,380.96,21.11
397,380.93,21.48
398,383.15,21.38
399,386.69,21.55
400,387.81,21.7
401,387.12,21.33
402,387.18,21.35
403,385.06,21.5
404,390.62,21.39
405,390.56,21.38
406,389.32,21.6
407,387.12,21.64
408,388.02,21.71
409,389.62,21.52
410,389.9,21.3
411,389.33,21.39
412,385.58,21.29
413,376.47,22.5
414,379.43,22.3
415,390.59,21.44
416,391.33,21.93
417,394.17,21.78
418,393.85,21.98
419,393.06,21.86
420,396.64,21.77
421,396.47,22.02
422,395.43,22.28
423,392.15,22.28
424,389.97,21.76
425,389.14,21.75
426,389.1,21.56
427,388.57,21.36
428,384.56,21.44
429,385.09,21.66
430,387.34,21.51
431,383.59,21.71
432,385.78,21.84
433,385.5,21.73
434,386.94,21.87
435,387.56,21.79
436,387.92,22.02
437,385.92,22.2
438,387.71,22.24
439,386.88,22.11
440,386.49,22.23
441,385.9,22.42
442,387.86,22.25
443,389.2,22.1
444,388.26,22.34
445,384.47,22.7
446,381.25,22.64
447,379.5,22.99
448,380.67,23.02
449,376.8,23.18
450,380.55,23.01
451,381.45,23.19
452,386.47,23.48
453,391.01,23.89
454,392.8,23.67
455,391.92,23.96
456,392.5,24.12
457,390.02,24.03
458,387.83,23.47
459,387.94,23.14
460,385.07,23.47
461,384.2,23.18
462,389.52,23.24
463,391.48,23.09
464,392.96,23.11
465,392.45,23.29
466,391.32,23.85
467,390.28,23.82
468,388.71,23.78
469,389.97,23.44
470,393.72,23.29
471,392.89,23
472,393.12,22.66
473,396.74,22.58
474,397.41,22.28
475,397.15,22.55
476,382.62,22.79
477,385.24,22.38
478,379.42,21.88
479,378.53,22.17
480,380.06,21.93
481,376.14,21.85
482,375.34,22.15
483,377.96,21.04
484,376.55,21.38
485,375.22,21.48
486,381.4,21.1
487,380.96,20.61
488,380.07,20.75
489,377.39,20.42
490,379.1,19.87
491,378.26,19.39
492,377.9,19.24
493,377.7,19.54
494,381.55,19.94
495,384.47,20.09
496,384.46,19.78
497,382.74,19.45
498,383.48,19.39
499,382.52,19.12
500,387.04,18.28
501,396.82,18.58
502,399.33,18.68
503,404.84,18.63
504,406.46,18.82
505,415.14,18.63
506,417.09,19.15
507,417.26,19.43
508,419.34,19.22
509,417.96,19.24
510,417.4,18.72
511,418.1,17.95
512,417.61,17.89
513,415.1,18.26
514,414.34,18.77
515,420.44,18.4
516,420.77,18.83
517,418.21,18.94
518,418.86,19.11
519,416.36,18.92
520,412.64,18.5
521,418.13,18.73
522,414.96,18.38
