year,winpct,lwinpct,change,lchange
1977,0.537,,,
1978,0.634,0.537,0.097,
1979,0.585,0.634,-0.049,0.097
1980,0.5,0.585,-0.085,-0.049
1981,0.634,0.5,0.134,-0.085
1982,0.585,0.634,-0.049,0.134
1983,0.646,0.585,0.061,-0.049
1984,0.451,0.646,-0.195,0.061
1985,0.5,0.451,0.049,-0.195
1986,0.427,0.5,-0.073,0.049
1987,0.341,0.427,-0.086,-0.073
1988,0.378,0.341,0.037,-0.086
1989,0.256,0.378,-0.122,0.037
1990,0.683,0.256,0.427,-0.122
1991,0.671,0.683,-0.012,0.427
1992,0.573,0.671,-0.098,-0.012
1993,0.598,0.573,0.025,-0.098
1994,0.671,0.598,0.073,0.025
1995,0.756,0.671,0.085,0.073
1996,0.72,0.756,-0.036,0.085
1997,0.244,0.72,-0.476,-0.036
1998,0.683,0.244,0.439,-0.476
1999,0.74,0.683,0.057,0.439
2000,0.646,0.74,-0.094,0.057
2001,0.707,0.646,0.061,-0.094
2002,0.707,0.707,0,0.061
2003,0.732,0.707,0.025,0
2004,0.695,0.732,-0.037,0.025
2005,0.72,0.695,0.025,-0.037
2006,0.768,0.72,0.048,0.025
2007,0.707,0.768,-0.061,0.048
2008,0.683,0.707,-0.024,-0.061
2009,0.659,0.683,-0.024,-0.024
2010,0.61,0.659,-0.049,-0.024
2011,0.744,0.61,0.134,-0.049
2012,0.758,0.744,0.014,0.134
2013,0.707,0.758,-0.051,0.014
2014,0.756,0.707,0.049,-0.051
2015,0.671,0.756,-0.085,0.049
2016,0.817,0.671,0.146,-0.085
2017,0.744,0.817,-0.073,0.146
2018,0.573,0.744,-0.171,-0.073
2019,0.585,0.573,0.012,-0.171
2020,0.451,0.585,-0.134,0.012
2021,0.458,0.451,0.007,-0.134
2022,0.415,0.458,-0.043,0.007
2023,0.268,0.415,-0.146707,-0.043
2024,0.268,0.268293,0,-0.146707
